Title,Date
"The Vampire Diaries: Season 1: Isobel","25/05/21"
"The Vampire Diaries: Season 1: Blood Brothers","25/05/21"
"The Vampire Diaries: Season 1: Miss Mystic Falls","24/05/21"
"Just Say Yes","24/05/21"
"Fifty Shades of Grey","22/05/21"
"The Vampire Diaries: Season 1: Under Control","22/05/21"
"The Blacklist: Season 1: The Freelancer (No. 145)","22/05/21"
"The Vampire Diaries: Season 1: Let the Right One In","20/05/21"
"Alexa & Katie: Part 4: This Feels Right","20/05/21"
"Alexa & Katie: Part 4: Last Dance","20/05/21"
"Alexa & Katie: Part 4: The Smoke Show","20/05/21"
"Alexa & Katie: Part 4: Speaking of Cancer","20/05/21"
"Alexa & Katie: Part 4: Choose Your Own Adventure","20/05/21"
"The Vampire Diaries: Season 1: There Goes the Neighborhood","19/05/21"
"Alexa & Katie: Part 4: The Girl Who Cried Yelp","19/05/21"
"Alexa & Katie: Part 4: Rules for Better Barista-ing","19/05/21"
"Alexa & Katie: Part 4: Last First Day","19/05/21"
"Alexa & Katie: Part 3: Panic! At the Putt Putt","19/05/21"
"Alexa & Katie: Part 3: It's Just ... Weird","19/05/21"
"Alexa & Katie: Part 3: Writer-Director-Nervous Wreck","19/05/21"
"Alexa & Katie: Part 3: All I Want for Christmas Is You","19/05/21"
"Alexa & Katie: Part 3: Unconsciously Coupling","19/05/21"
"The Vampire Diaries: Season 1: A Few Good Men","19/05/21"
"Alexa & Katie: Part 3: Always Something There to Remind Me","19/05/21"
"Alexa & Katie: Part 3: Stupid Binder","19/05/21"
"The Vampire Diaries: Season 1: Fool Me Once","18/05/21"
"The Vampire Diaries: Season 1: Children of the Damned","18/05/21"
"The Vampire Diaries: Season 1: Unpleasantville","18/05/21"
"Alexa & Katie: Part 3: 1st Day of Junior Year","18/05/21"
"Alexa & Katie: Part 2: Sweet Sixteen","18/05/21"
"Alexa & Katie: Part 2: New Year's ... Whoops","18/05/21"
"Alexa & Katie: Part 2: The Ghost of Cancer Past","18/05/21"
"Alexa & Katie: Part 2: Katie's Beautiful Mind","18/05/21"
"Alexa & Katie: Part 2: Shop 'Til You Cry","18/05/21"
"The Blacklist: Season 1: Pilot","17/05/21"
"The Circle USA: Season 2: Back and More Savage Than Ever","17/05/21"
"Alexa & Katie: Part 2: PB Without J","17/05/21"
"Alexa & Katie: Part 2: Tryouts and Latte Doubts","17/05/21"
"Alexa & Katie: Part 2: #GWENCAS","17/05/21"
"Alexa & Katie: Part 2: ChoreCats","17/05/21"
"Alexa & Katie: Part 2: Second First Day","17/05/21"
"Alexa & Katie: Part 1: Winter Formal, Part 2","17/05/21"
"Alexa & Katie: Part 1: Winter Formal, Part 1","17/05/21"
"Alexa & Katie: Part 1: Secret Sleepover","17/05/21"
"Alexa & Katie: Part 1: Thanksgiving","17/05/21"
"Alexa & Katie: Part 1: Winter Luau","17/05/21"
"The Big Bang Theory: Season 12: The Stockholm Syndrome","16/05/21"
"The Big Bang Theory: Season 12: The Change Constant","16/05/21"
"The Big Bang Theory: Season 12: The Maternal Conclusion","16/05/21"
"The Big Bang Theory: Season 12: The Plagiarism Schism","16/05/21"
"The Big Bang Theory: Season 12: The Decision Reverberation","16/05/21"
"The Big Bang Theory: Season 12: The Inspiration Deprivation","16/05/21"
"Alexa & Katie: Part 1: Support Group","16/05/21"
"Alexa & Katie: Part 1: The Play, Part 2","16/05/21"
"Alexa & Katie: Part 1: Picture Day","16/05/21"
"Alexa & Katie: Part 1: The Play, Part 1","16/05/21"
"Alexa & Katie: Part 1: Ungroundable","16/05/21"
"Alexa & Katie: Part 1: Basketball","16/05/21"
"Alexa & Katie: Part 1: Wigs","16/05/21"
"Alexa & Katie: Part 1: Bad Hair Day","16/05/21"
"The Vampire Diaries: Season 1: Bloodlines","16/05/21"
"The Big Bang Theory: Season 12: The Laureate Accumulation","15/05/21"
"The Big Bang Theory: Season 12: The Conference Valuation","15/05/21"
"The Big Bang Theory: Season 12: The D & D Vortex","15/05/21"
"The Big Bang Theory: Season 12: The Donation Oscillation","15/05/21"
"The Big Bang Theory: Season 12: The Meteorite Manifestation","15/05/21"
"The Big Bang Theory: Season 12: The Confirmation Polarization","14/05/21"
"The Vampire Diaries: Season 1: The Turning Point","13/05/21"
"The Big Bang Theory: Season 12: The Propagation Proposition","12/05/21"
"The Vampire Diaries: Season 1: History Repeating","12/05/21"
"The Vampire Diaries: Season 1: 162 Candles","12/05/21"
"The Big Bang Theory: Season 12: The Paintball Scattering","12/05/21"
"The Vampire Diaries: Season 1: Haunted","11/05/21"
"The Vampire Diaries: Season 1: Lost Girls","11/05/21"
"The Vampire Diaries: Season 1: You're Undead to Me","10/05/21"
"The Big Bang Theory: Season 12: The VCR Illumination","10/05/21"
"The Big Bang Theory: Season 12: The Citation Negation","10/05/21"
"The Vampire Diaries: Season 1: Family Ties","10/05/21"
"The Vampire Diaries: Season 1: Friday Night Bites","09/05/21"
"The Big Bang Theory: Season 12: The Consummation Deviation","09/05/21"
"The Big Bang Theory: Season 12: The Grant Allocation Derivation","09/05/21"
"Bad Boy Billionaires: India: Season 1: Diamonds Aren't Forever","08/05/21"
"Bad Boy Billionaires: India: Season 1: The King of Good Times","08/05/21"
"The Big Bang Theory: Season 12: The Imitation Perturbation","08/05/21"
"The Big Bang Theory: Season 12: The Planetarium Collision","08/05/21"
"The Big Bang Theory: Season 12: The Tam Turbulence","08/05/21"
"The Vampire Diaries: Season 1: The Night of the Comet","08/05/21"
"Sexify: Season 1: Episode 1","07/05/21"
"Sexify: Season 1: Episode 8","07/05/21"
"Sexify: Season 1: Episode 7","07/05/21"
"Sexify: Season 1: Episode 6","07/05/21"
"Sexify: Season 1: Episode 5","07/05/21"
"Sexify: Season 1: Episode 4","07/05/21"
"Sexify: Season 1: Episode 3","07/05/21"
"Sexify: Season 1: Episode 2","07/05/21"
"The Vampire Diaries: Season 1: Pilot","07/05/21"
"The Big Bang Theory: Season 12: The Procreation Calculation","05/05/21"
"The Big Bang Theory: Season 12: The Wedding Gift Wormhole","05/05/21"
"The Big Bang Theory: Season 12: The Conjugal Configuration","05/05/21"
"The Big Bang Theory: Season 11: The Bow Tie Asymmetry","05/05/21"
"The Big Bang Theory: Season 11: The Sibling Realignment","05/05/21"
"The Big Bang Theory: Season 11: The Monetary Insufficiency","05/05/21"
"The Big Bang Theory: Season 11: The Comet Polarization","02/05/21"
"The Big Bang Theory: Season 11: The Reclusive Potential","02/05/21"
"The Big Bang Theory: Season 11: The Tenant Disassociation","02/05/21"
"Lupin: Part 1: Chapter 3","27/04/21"
"Lupin: Part 1: Chapter 2","27/04/21"
"Lupin: Part 1: Chapter 1","25/04/21"
"Lupin: Part 1: Chapter 4","25/04/21"
"The Big Bang Theory: Season 11: The Gates Excitation","24/04/21"
"The Big Bang Theory: Season 11: The Athenaeum Allocation","24/04/21"
"The Big Bang Theory: Season 11: The Neonatal Nomenclature","24/04/21"
"The Big Bang Theory: Season 11: The Novelization Correlation","20/04/21"
"The Bold Type: Season 4: Not Far from the Tree","20/04/21"
"The Bold Type: Season 4: Love","20/04/21"
"The Bold Type: Season 4: The Truth Will Set You Free","19/04/21"
"The Big Bang Theory: Season 11: The Separation Triangulation","19/04/21"
"The Bold Type: Season 4: Lost","19/04/21"
"The Bold Type: Season 4: Snow Day","19/04/21"
"The Bold Type: Season 4: Leveling Up","19/04/21"
"The Bold Type: Season 4: Some Kind of Wonderful","19/04/21"
"The Bold Type: Season 4: 5, 6, 7, 8","18/04/21"
"The Bold Type: Season 4: Stardust","18/04/21"
"The Bold Type: Season 4: The Space Between","18/04/21"
"The Bold Type: Season 4: To Peg or Not to Peg","18/04/21"
"The Bold Type: Season 4: Tearing Down the Donut Wall","17/04/21"
"The Bold Type: Season 4: Babes in Toyland","17/04/21"
"The Bold Type: Season 4: Marathon","17/04/21"
"The Bold Type: Season 4: #Scarlet","17/04/21"
"The Bold Type: Season 4: Legends of the Fall Issue","17/04/21"
"The Bold Type: Season 3: Breaking Through the Noise","17/04/21"
"The Bold Type: Season 3: Final Push","17/04/21"
"The Bold Type: Season 3: Revival","16/04/21"
"The Bold Type: Season 3: Mixed Messages","16/04/21"
"The Bold Type: Season 3: #TBT","16/04/21"
"The Bold Type: Season 3: Technical Difficulties","16/04/21"
"The Bold Type: Season 3: The Deep End","16/04/21"
"The Bold Type: Season 3: Stroke of Genius","16/04/21"
"The Bold Type: Season 3: Plus It Up","16/04/21"
"The Bold Type: Season 3: The New Normal","16/04/21"
"The Bold Type: Season 2: We'll Always Have Paris","16/04/21"
"The Bold Type: Season 2: Trippin'","15/04/21"
"The Bold Type: Season 2: Plan B","15/04/21"
"The Bold Type: Season 2: Betsy","15/04/21"
"The Bold Type: Season 2: The Domino Effect","15/04/21"
"The Bold Type: Season 2: Stride of Pride","15/04/21"
"The Bold Type: Season 2: OMG","15/04/21"
"The Bold Type: Season 2: The Scarlet Letter","14/04/21"
"The Bold Type: Season 2: Rose Colored Glasses","14/04/21"
"The Bold Type: Season 2: Feminist Army","14/04/21"
"The Bold Type: Season 1: Carry the Weight","13/04/21"
"The Bold Type: Season 1: Before Tequila Sunrise","13/04/21"
"The Bold Type: Season 1: The End of the Beginning","13/04/21"
"The Bold Type: Season 1: Three Girls In A Tub","13/04/21"
"The Bold Type: Season 1: The Breast Issue","13/04/21"
"The Bold Type: Season 1: No Feminism in the Champagne Room","12/04/21"
"The Bold Type: Season 1: If You Can't Do It With Feeling","12/04/21"
"The Bold Type: Season 1: The Woman Behind the Clothes","12/04/21"
"Kal Ho Naa Ho","12/04/21"
"The Bold Type: Season 1: O Hell No","11/04/21"
"The Bold Type: Season 1: Pilot","11/04/21"
"The Big Bang Theory: Season 11: The Solo Oscillation","06/04/21"
"Designated Survivor: Season 3: #truthorconsequences","05/04/21"
"Designated Survivor: Season 3: #undecided","05/04/21"
"Designated Survivor: Season 3: #scaredsh*tless","05/04/21"
"Designated Survivor: Season 3: #identity/crisis","04/04/21"
"Designated Survivor: Season 3: #whocares","04/04/21"
"Designated Survivor: Season 3: #nothingpersonal","04/04/21"
"Designated Survivor: Season 3: #makehistory","03/04/21"
"Designated Survivor: Season 3: #privacyplease","03/04/21"
"Designated Survivor: Season 3: #slipperyslope","03/04/21"
"Designated Survivor: Season 2: Run","03/04/21"
"Designated Survivor: Season 2: Target","03/04/21"
"Designated Survivor: Season 2: Bad Reception","02/04/21"
"Designated Survivor: Season 2: Capacity","02/04/21"
"Designated Survivor: Season 2: Kirkman Agonistes","02/04/21"
"Riverdale: Season 5: Chapter Eighty-Six: The Pincushion Man","01/04/21"
"Designated Survivor: Season 2: Overkill","01/04/21"
"Designated Survivor: Season 2: Fallout","31/03/21"
"Designated Survivor: Season 2: Summit","31/03/21"
"Designated Survivor: Season 2: In the Dark","31/03/21"
"Designated Survivor: Season 2: Original Sin","31/03/21"
"Riverdale: Season 5: Chapter Eighty-Five: Destroyer","28/03/21"
"Designated Survivor: Season 3: #thesystemisbroken","26/03/21"
"Designated Survivor: Season 2: The Final Frontier","24/03/21"
"Designated Survivor: Season 2: Grief","24/03/21"
"Designated Survivor: Season 2: Line of Fire","22/03/21"
"Designated Survivor: Season 2: Three Letter Day","22/03/21"
"Designated Survivor: Season 2: Home","22/03/21"
"Stree","22/03/21"
"Designated Survivor: Season 2: Family Ties","21/03/21"
"Designated Survivor: Season 2: Two Ships","21/03/21"
"Designated Survivor: Season 2: Suckers","21/03/21"
"Designated Survivor: Season 2: Equilibrium","21/03/21"
"Designated Survivor: Season 2: Outbreak","20/03/21"
"Designated Survivor: Season 2: One Year In","20/03/21"
"Designated Survivor: Season 2: Sting of the Tail","19/03/21"
"Designated Survivor: Season 1: Brace for Impact","19/03/21"
"Designated Survivor: Season 1: Bombshell","18/03/21"
"Designated Survivor: Season 1: Misalliance","18/03/21"
"Riverdale: Season 5: Chapter Eighty-Four: Lock & Key","18/03/21"
"Designated Survivor: Season 1: Lazarus","17/03/21"
"Designated Survivor: Season 1: The Ninth Seat","17/03/21"
"Designated Survivor: Season 1: Party Lines","17/03/21"
"Designated Survivor: Season 1: One Hundred Days","17/03/21"
"Designated Survivor: Season 1: Commander-in-Chief","17/03/21"
"Designated Survivor: Season 1: Backfire","17/03/21"
"Designated Survivor: Season 1: The End of the Beginning","16/03/21"
"Designated Survivor: Season 1: Warriors","16/03/21"
"Designated Survivor: Season 1: The Oath","16/03/21"
"Designated Survivor: Season 1: The Blueprint","16/03/21"
"Designated Survivor: Season 1: The Results","15/03/21"
"Designated Survivor: Season 1: The Traitor","15/03/21"
"Designated Survivor: Season 1: The Interrogation","15/03/21"
"Designated Survivor: Season 1: The Mission","14/03/21"
"Designated Survivor: Season 1: The Enemy","14/03/21"
"Designated Survivor: Season 1: The Confession","14/03/21"
"Friends: Season 2: The One with the Bullies","14/03/21"
"Designated Survivor: Season 1: The First Day","14/03/21"
"Designated Survivor: Season 1: Pilot","14/03/21"
"Riverdale: Season 5: Chapter Eighty-Three: Fire in the Sky","11/03/21"
"Oh My God","04/03/21"
"Bridgerton: Season 1: Diamond of the First Water","28/02/21"
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell","27/02/21"
"Schitt's Creek: Season 6: Happy Ending","27/02/21"
"Schitt's Creek: Season 6: Start Spreading the News","27/02/21"
"Schitt's Creek: Season 6: The Pitch","27/02/21"
"Schitt's Creek: Season 6: The Bachelor Party","27/02/21"
"Schitt's Creek: Season 6: Sunrise, Sunset","27/02/21"
"Schitt's Creek: Season 6: Rebound","27/02/21"
"Schitt's Creek: Season 6: The Presidential Suite","27/02/21"
"Schitt's Creek: Season 6: Moira Rose","27/02/21"
"Schitt's Creek: Season 6: The Wingman","27/02/21"
"Schitt's Creek: Season 6: The Premiere","27/02/21"
"Schitt's Creek: Season 6: Maid of Honour","27/02/21"
"Schitt's Creek: Season 6: The Job Interview","27/02/21"
"Schitt's Creek: Season 6: The Incident","27/02/21"
"Schitt's Creek: Season 6: Smoke Signals","27/02/21"
"Schitt's Creek: Season 5: Life Is a Cabaret","27/02/21"
"Schitt's Creek: Season 5: The Hike","26/02/21"
"Schitt's Creek: Season 5: The Roast","26/02/21"
"Schitt's Creek: Season 5: Meet the Parents","26/02/21"
"Schitt's Creek: Season 5: Roadkill","26/02/21"
"The Big Bang Theory: Season 11: The Matrimonial Metric","26/02/21"
"The Big Bang Theory: Season 11: The Celebration Reverberation","26/02/21"
"The Big Bang Theory: Season 11: The Confidence Erosion","26/02/21"
"The Big Bang Theory: Season 11: The Bitcoin Entanglement","26/02/21"
"Schitt's Creek: Season 5: The M.V.P","26/02/21"
"Schitt's Creek: Season 5: The Hospies","25/02/21"
"Schitt's Creek: Season 5: A Whisper of Desire","25/02/21"
"Schitt's Creek: Season 5: Rock On!","25/02/21"
"Schitt's Creek: Season 5: Housewarming","25/02/21"
"Schitt's Creek: Season 5: The Dress","25/02/21"
"Schitt's Creek: Season 5: The Plant","25/02/21"
"Schitt's Creek: Season 5: Love Letters","25/02/21"
"Riverdale: Season 1: Chapter One: The River's Edge","25/02/21"
"Riverdale: Season 5: Chapter Eighty-Two: Back to School","25/02/21"
"Schitt's Creek: Season 5: The Crowening","25/02/21"
"Schitt's Creek: Season 4: Merry Christmas, Johnny Rose","25/02/21"
"Schitt's Creek: Season 4: Singles Week","25/02/21"
"Schitt's Creek: Season 4: The Rollout","24/02/21"
"Schitt's Creek: Season 4: Baby Sprinkle","24/02/21"
"Schitt's Creek: Season 4: The Olive Branch","24/02/21"
"Schitt's Creek: Season 4: The Jazzaguy","24/02/21"
"Schitt's Creek: Season 4: The Barbecue","24/02/21"
"Schitt's Creek: Season 4: Open Mic","24/02/21"
"Schitt's Creek: Season 4: RIP Moira Rose","24/02/21"
"Schitt's Creek: Season 4: Girls’ Night","24/02/21"
"Schitt's Creek: Season 4: Asbestos Fest","23/02/21"
"Schitt's Creek: Season 4: Pregnancy Test","23/02/21"
"Schitt's Creek: Season 4: Dead Guy in Room 4","23/02/21"
"Schitt's Creek: Season 3: Grad Night","23/02/21"
"Schitt's Creek: Season 3: Friends & Family","23/02/21"
"Schitt's Creek: Season 3: Stop Saying Lice!","23/02/21"
"Schitt's Creek: Season 3: Sebastien Raine","23/02/21"
"Schitt's Creek: Season 3: The Affair","23/02/21"
"The Big Bang Theory: Season 11: The Tesla Recoil","22/02/21"
"The Big Bang Theory: Season 11: The Geology Methodology","22/02/21"
"Schitt's Creek: Season 3: Motel Review","22/02/21"
"Schitt's Creek: Season 3: General Store","22/02/21"
"Schitt's Creek: Season 3: Murder Mystery","22/02/21"
"Schitt's Creek: Season 3: Rooms by the Hour","22/02/21"
"Schitt's Creek: Season 3: Driving Test","22/02/21"
"Brooklyn Nine-Nine: Season 7: Lights Out","22/02/21"
"Brooklyn Nine-Nine: Season 7: Ransom","22/02/21"
"Brooklyn Nine-Nine: Season 7: Valloweaster","22/02/21"
"Brooklyn Nine-Nine: Season 7: Admiral Peralta","22/02/21"
"Brooklyn Nine-Nine: Season 7: Dillman","22/02/21"
"Brooklyn Nine-Nine: Season 7: The Takeback","22/02/21"
"Brooklyn Nine-Nine: Season 7: Ding Dong","22/02/21"
"Brooklyn Nine-Nine: Season 7: Trying","22/02/21"
"Brooklyn Nine-Nine: Season 7: Debbie","22/02/21"
"Brooklyn Nine-Nine: Season 7: The Jimmy Jab Games II","22/02/21"
"Brooklyn Nine-Nine: Season 7: Pimemento","22/02/21"
"Brooklyn Nine-Nine: Season 7: Captain Kim","22/02/21"
"Schitt's Creek: Season 3: New Car","22/02/21"
"Schitt's Creek: Season 3: The Throuple","22/02/21"
"Schitt's Creek: Season 3: Opening Night","21/02/21"
"Riverdale: Season 5: Chapter Eighty-One: The Homecoming","20/02/21"
"Schitt's Creek: Season 2: Happy Anniversary","16/02/21"
"Schitt's Creek: Season 2: Lawn Signs","16/02/21"
"Schitt's Creek: Season 2: The Motel Guest","15/02/21"
"The Big Day: Collection 1: Love Is in the Details","14/02/21"
"Brooklyn Nine-Nine: Season 7: Manhunter","14/02/21"
"Schitt's Creek: Season 2: Ronnie's Party","14/02/21"
"Schitt's Creek: Season 2: Moira's Nudes","13/02/21"
"Schitt's Creek: Season 2: Milk Money","13/02/21"
"Schitt's Creek: Season 2: The Candidate","13/02/21"
"Schitt's Creek: Season 2: Moira vs. Town Council","13/02/21"
"To All The Boys: Always And Forever","12/02/21"
"Schitt's Creek: Season 2: Bob's Bagels","12/02/21"
"Schitt's Creek: Season 2: Estate Sale","11/02/21"
"Schitt's Creek: Season 2: Jazzagals","11/02/21"
"Riverdale: Season 5: Chapter Eighty: Purgatorio","11/02/21"
"Schitt's Creek: Season 2: Family Dinner","11/02/21"
"Schitt's Creek: Season 2: Finding David","09/02/21"
"Schitt's Creek: Season 1: Town for Sale","09/02/21"
"Schitt's Creek: Season 1: Surprise Party","09/02/21"
"Schitt's Creek: Season 1: Little Sister","09/02/21"
"Two and a Half Men: Season 3: Carpet Burns and a Bite Mark","09/02/21"
"Two and a Half Men: Season 3: Principal Gallagher's Lesbian Lover","09/02/21"
"Schitt's Creek: Season 1: Honeymoon","09/02/21"
"Schitt's Creek: Season 1: Carl's Funeral","08/02/21"
"Riverdale: Season 5: Chapter Seventy-Nine: Graduation","07/02/21"
"Schitt's Creek: Season 1: Allez-Vous","04/02/21"
"The White Tiger","02/02/21"
"Schitt's Creek: Season 1: Turkey Shoot","01/02/21"
"Schitt's Creek: Season 1: Wine and Roses","29/01/21"
"Two and a Half Men: Season 3: Weekend In Bangkok with Two Olympic Gymnasts","29/01/21"
"Schitt's Creek: Season 1: The Cabin","28/01/21"
"Two and a Half Men: Season 2: Does This Smell Funny to You?","28/01/21"
"Schitt's Creek: Season 1: Bad Parents","28/01/21"
"Riverdale: Season 5: Chapter Seventy-Eight: The Preppy Murders","28/01/21"
"Schitt's Creek: Season 1: Don't Worry, It's His Sister","27/01/21"
